ID,class_ID,class_name,season_IMG,season_big_IMG,card_IMG
815,EU24,UEFA EURO 2024,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/eu24.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/eu24_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/eu24.png
818,LD,Last Dance,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ld.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ld_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/ld.png
814,UT,Unexpected Transfer,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ut.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ut_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/ut.png
813,JNM,Journeyman,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/jnm.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/jnm_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/jnm.png
802,DC,Decade,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/dc.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/dc_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/dc.png
801,JVA,Juventus Ambassador,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/jva.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/jva_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/jva.png
290,FCA,FCAmbassador,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/fca.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/fca_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/fca.png
291,23HW,23 Hard Worker,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23hw.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/23hw_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/23hw.png
289,CC,CenturyClub,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/cc.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/cc_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/cc.png
283,HG,Home Grown,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/hg.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/hg_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/hg.png
