ID,season_ID,player_ID,name
101001845,101,1845,올레 군나르 솔샤르
101003647,101,3647,미하엘 발락
101004000,101,4000,데니스 베르캄프
101004202,101,4202,젠나로 가투소
101004231,101,4231,히바우두
101004833,101,4833,H. 스토이치코프
101005003,101,5003,카푸
101005099,101,5099,잔루카 잠브로타
101005419,101,5419,마이클 오언
101005467,101,5467,제이미 캐러거
101005471,101,5471,프랭크 램파드
101005479,101,5479,카시야스
101005589,101,5589,루이스 피구
101005673,101,5673,야리 리트마넨
101005680,101,5680,P. 클라위베르트
101005681,101,5681,M. 오베르마르스
101005984,101,5984,다비드 트레제게
101006235,101,6235,파벨 네드베드
101006975,101,6975,프레디 융베리
101007289,101,7289,리오 퍼디난드
101007512,101,7512,에르난 크레스포
101007518,101,7518,베론
101007763,101,7763,안드레아 피를로
101007826,101,7826,로빈 반페르시
101009676,101,9676,사뮈엘 에토
101010264,101,10264,뤼트 반니스텔로이
101010535,101,10535,차비
101011141,101,11141,미로슬라프 클로제
101013038,101,13038,카를레스 푸욜
101013128,101,13128,안드리 셰우첸코
101013383,101,13383,나카타 히데토시
101013743,101,13743,스티븐 제라드
101020170,101,20170,비토르 바이아
101020289,101,20289,야야 투레
101023174,101,23174,리켈메
101028130,101,28130,호나우지뉴
101031432,101,31432,디디에 드로그바
101034079,101,34079,애슐리 콜
101037576,101,37576,호나우두
101039943,101,39943,박지성
101041236,101,41236,즐라탄
101045197,101,45197,샤비 알론소
101045661,101,45661,라울
101045674,101,45674,마이클 에시앙
101046747,101,46747,알렉시 랄라스
101048940,101,48940,페트르 체흐
101049369,101,49369,페르난도 토레스
101051539,101,51539,에드윈 반데르사르
101052241,101,52241,헨릭 라르손
101053769,101,53769,데쿠
101054050,101,54050,웨인 루니
101117106,101,117106,파울레타
101121939,101,121939,필립 람
101121944,101,121944,B. 슈바인슈타이거
101138449,101,138449,카카
101138956,101,138956,조르조 키엘리니
101140601,101,140601,네마냐 비디치
101156353,101,156353,루이스 에르난데스
101156616,101,156616,프랑크 리베리
101161840,101,161840,페르난도 이에로
101166120,101,166120,안드레아스 브레메
101166124,101,166124,게오르게 하지
101166149,101,166149,우고 산체스
101166691,101,166691,지쿠
101166906,101,166906,프랑코 바레시
101167135,101,167135,카를루스 아우베르투
101167198,101,167198,에릭 칸토나
101167680,101,167680,로날트 쿠만
101168473,101,168473,베켄바워
101173731,101,173731,가레스 베일
101176676,101,176676,마르셀루
101177845,101,177845,프랑크 더부르
101182521,101,182521,토니 크로스
101190042,101,190042,마라도나
101190043,101,190043,펠레
101190044,101,190044,보비 무어
101190045,101,190045,요한 크루이프
101190046,101,190046,소크라테스
101190048,101,190048,게르트 뮐러
101190053,101,190053,페터 슈마이켈
101191189,101,191189,로타어 마테우스
101191208,101,191208,차범근
101191695,101,191695,부트라게뇨
101192181,101,192181,마르코 반바스텐
101192190,101,192190,둥가
101214098,101,214098,프랑크 레이카르트
101214100,101,214100,루드 굴리트
101214101,101,214101,파울루 푸트리
101214267,101,214267,게리 리네커
101214649,101,214649,다보르 슈케르
101215558,101,215558,슈테판 에펜베르크
101215732,101,215732,올리버 비어호프
101221162,101,221162,가브리엘 바티스투타
101222000,101,222000,미카엘 라우드루프
101222257,101,222257,브리안 라우드루프
101222481,101,222481,로랑 블랑
101222680,101,222680,카를로스 발데라마
101226764,101,226764,조지 베스트
101230025,101,230025,보비 찰턴
101238380,101,238380,레프 야신
101242519,101,242519,에우제비우
101243781,101,243781,과르디올라
101247515,101,247515,존 반스
101247553,101,247553,가린샤
101247699,101,247699,케니 달글리시
101247703,101,247703,이언 러시
101248146,101,248146,이언 라이트
101254642,101,254642,페렌츠 푸스카스
101268513,101,268513,자이르지뉴
110000041,110,41,이니에스타
110000051,110,51,앨런 시어러
110000240,110,240,로이 킨
110000246,110,246,폴 스콜스
110000250,110,250,데이비드 베컴
110000388,110,388,솔 캠벨
110000488,110,488,올리버 칸
110000570,110,570,제이-제이 오코차
110001025,110,1025,후이 코스타
110001040,110,1040,호베르투 카를루스
110001041,110,1041,하비에르 사네티
110001075,110,1075,델피에로
110001088,110,1088,알레산드로 네스타
110001109,110,1109,파올로 말디니
110001114,110,1114,로베르토 바조
110001116,110,1116,마르셀 드사이
110001179,110,1179,잔루이지 부폰
110001183,110,1183,파비오 칸나바로
110001201,110,1201,잔프랑코 졸라
110001238,110,1238,F. 토티
110001256,110,1256,클라렌스 세이도르프
110001397,110,1397,지네딘 지단
110001419,110,1419,파트리크 비에이라
110001605,110,1605,로베르 피레스
